food,gi
white bread,75
whole wheat bread,74
white rice,73
brown rice,68
pasta,55
oats,55
quinoa,53
sweet potato,70
potato,78
banana,51
apple,36
orange,43
grapes,46
strawberries,40
blueberries,53
milk,39
yogurt,41
cheese,0
butter,0
olive oil,0
coconut oil,0
avocado,0
nuts,15
almonds,0
peanuts,7
chicken,0
beef,0
fish,0
eggs,0
broccoli,0
spinach,0
lettuce,0
cucumber,0
tomato,10
carrot,47
onion,10
garlic,0
sugar,65
honey,61
maple syrup,54
agave,19
stevia,0
erythritol,0
xylitol,13
dark chocolate,23
milk chocolate,40
